방송사,카테고리,내용요약
SBS,정치,"윤석열 대통령의 탄핵 심판이 헌법재판소에서 진행 중이며, 정치적 갈등이 심화되고 있습니다. 미국 상원에서 캐나다에 대한 관세 부과 철회 결의안이 통과되었고, 트럼프의 관세 정책으로 미국과 유럽 간의 동맹 관계에 균열이 발생하고 있습니다. 김건희 여사의 도이치모터스 주가 조작 사건 연루 의혹과 민주당의 재보궐선거 승리, 이철호 경북도지사의 산불 피해 복구 계획 건의가 주요 이슈입니다."
SBS,사회,"헌법재판소 주변의 긴장감과 탄핵 반대 시위대의 집회로 인한 경찰 경비 강화가 이루어지고 있습니다. 대구의 대학병원에서 신생아 학대 사건이 발생했으며, 대형 산불로 인한 이재민들의 고통이 지속되고 있습니다. 고령화로 병원 의존도가 증가하고 있으며, 경북 내륙에 건조주의보가 발효 중입니다."
SBS,국제,"트럼프 전 대통령의 관세 정책으로 국제 사회가 혼란에 빠졌으며, 유럽과 중국이 미국의 관세 부과에 강하게 반발하고 있습니다. 강원 강릉에서 외국 선박에서 코카인이 적발되어 국제 마약 조직과의 연관성을 조사 중입니다."
SBS,경제,"트럼프 정부의 관세 부과로 한국의 대미 수출에 타격이 예상되며, 여러 나라가 경기 침체와 물가 상승으로 어려움을 겪고 있습니다. 유럽은 미국의 관세에 대해 상호 관세를 부과받고 있으며, 한국은 대미 보복 관세를 예고했습니다. 서울 모빌리티 쇼에서 다양한 신차가 공개되었습니다."
SBS,기타,"헌법재판소의 탄핵 심판에서 국회 활동 방해 여부가 핵심 쟁점이며, 인공 강우 기술이 산불 예방에 기여할 수 있다는 평가가 나오고 있습니다. 경남 진해와 서울 윤중로에서 벚꽃이 만개했으며, 주말에는 전국적으로 비가 예보되어 있습니다."
JTBC,정치,"윤석열 대통령의 탄핵 심판이 임박하면서 헌법재판소와 광화문 광장 주변에 긴장감이 고조되고 있습니다. 대통령은 탄핵 심판 선고에 출석하지 않기로 했으며, 국회는 경비 태세를 강화하고 있습니다. 김건희 여사에 대한 주가 조작 연루 의혹이 재수사 필요성으로 이어지고 있으며, 대법원은 도이치모터스 주가 조작 사건 관련자들에게 유죄를 확정했습니다."
JTBC,사회,"헌법재판소의 탄핵 선고를 앞두고 광화문 광장에는 많은 시민들이 모여 탄핵을 촉구하는 집회에 참여하고 있으며, 집회는 밤샘 농성으로 이어질 예정입니다. 최상병 사망 사건과 관련하여 JTBC는 임성근 전 사단장의 구명 로비 정황을 담은 카톡 대화방과 녹취를 입수했습니다."
JTBC,국제,"트럼프 대통령의 상호 관세 발표는 중국, 유럽연합, 일본 등 대미 흑자 규모가 큰 여러 국가들을 포함하고 있으며, 국제 무역 관계에 긴장이 고조되고 있습니다. 해경과 관세청은 마약의 출처와 유통 경로를 조사하기 위해 FBI 등과 공조하고 있습니다."
JTBC,경제,"헌법재판소 인근 상인들은 탄핵 선고를 앞두고 가게 운영에 차질을 빚고 있으며, 도이치모터스와 3부 토건의 주가 조작 사건이 논란이 되고 있습니다. 트럼프 대통령의 상호 관세 발표로 인해 한국의 대미 수출에 타격이 예상되며, 미국 GDP가 감소할 것으로 전망됩니다."
JTBC,기타,"헌법재판소의 방청 신청 경쟁률이 매우 높으며, 제주 4.3 사건의 77주년을 맞아 역사 왜곡을 막기 위한 노력이 진행되고 있습니다. 상호 관세의 계산법은 논란이 되고 있으며, 사람이 살지 않는 호주령 화산섬에도 상호 관세가 부과되는 해프닝이 발생했습니다. 봄철 날씨가 이어지면서 큰 일교차에 주의가 필요합니다."
KBS,정치,"윤석열 대통령의 탄핵 심판 선고를 앞두고 헌법재판소는 파면 여부를 결정할 예정이며, 대통령실은 두 가능성에 대비하고 있습니다. 재보궐선거에서 야권이 기초자치단체장 5곳 중 4곳을 차지하며 약진했습니다. 우원식 국회의장은 제주 4.3 희생자 추념식에 참석하여 실종자 확인과 보상 등을 추진하겠다고 밝혔습니다."
KBS,사회,"헌법재판소 주변에서 탄핵 찬반 집회가 열리고 있으며, 경찰은 경비를 강화하고 있습니다. 제77주년 제주 4.3 희생자 추념식이 열렸으며, 정부는 희생자 추모와 유가족 위로를 강조했습니다."
KBS,국제,트럼프 미국 대통령이 한국산 제품에 26%의 관세를 부과했습니다. 중국인 조직이 한미연합연습 관련 군사 기밀을 빼돌리려는 정황이 포착되어 조사 중입니다.
KBS,경제,"미국의 관세 부과로 한국의 주요 수출 품목에 영향을 미치고 있으며, 정부는 전략적인 협상이 필요하다고 보고 있습니다. 임차 헬기 비용 부담으로 일부 지자체가 공동 임차를 하거나 운용을 중단했습니다. 도이치 모터스 주가 조작 사건 관련자들에게 유죄가 확정되었으며, 한국은행은 기업들의 부동산 부문 집중 현상을 경고했습니다."
KBS,기타,해당 뉴스 기사에는 기타 카테고리에 해당하는 내용이 없습니다.
MBC,정치,"제주 4.3 사건과 관련하여 한덕수 국무총리가 추념식에 참석했으나, 윤석열 대통령은 불참했습니다. 국민의힘은 현 상황에 대해 더불어민주당을 비판하며, 윤 대통령의 직무 복귀 시 개헌을 추진할 것이라고 밝혔습니다. 야당은 윤 대통령의 파면을 촉구하며, 헌법재판소의 탄핵 심판 선고를 앞두고 긴장감이 고조되고 있습니다."
MBC,사회,"제주 4.3 사건은 여전히 해결되지 않은 과거의 비극으로 남아 있으며, 한민고에서 발생한 사학 비리가 보도되었습니다. 교장이 학생 응급 이송용 차량을 개인 용도로 사용하고, 직원이 공금을 횡령하는 등의 비리가 적발되었습니다."
MBC,국제,"트럼프 대통령이 전 세계 모든 국가에 10%의 기본 관세를 부과하고, 무역으로 이익을 보고 있는 60여 개 국가에는 추가 관세를 부과하겠다고 발표했습니다. 한국에는 26%의 상호 관세가 부과될 예정이며, 이에 대해 전 세계가 반발하고 있습니다."
MBC,경제,"트럼프 대통령의 관세 부과 발표로 인해 자유무역의 시대가 사실상 끝났다는 평가가 나오고 있으며, 한국은 26%의 높은 관세로 인해 경제적 비상이 걸렸습니다. 특히 자동차 산업에 큰 영향을 미칠 것으로 보입니다."
MBC,기타,"미국의 관세 부과 방식에 대한 의문이 제기되고 있으며, 특히 러시아가 관세 부과 대상에서 제외된 점이 논란이 되고 있습니다. 한국 정부는 글로벌 관세 전쟁에 대응하기 위해 긴급 회의를 열고, 미국 방문 및 자동차 산업 긴급 지원 대책을 준비하고 있습니다."
MBN,정치,"윤석열 대통령의 탄핵 심판 선고가 임박하면서 정치권은 긴장 상태에 있으며, 민주당과 국민의힘은 각각 집회와 비대위 소집으로 대응하고 있습니다. 또한, 미국과 중국 간의 관세 전쟁이 심화되면서 미국 동맹체제에 균열이 생길 수 있다는 분석이 나오고 있습니다."
MBN,사회,"헌법재판소 앞에서 윤석열 대통령의 파면을 요구하는 집회가 열리고 있으며, 민주노총은 탄핵 기각 시 총파업을 예고하고 있어 사회적 긴장이 고조되고 있습니다. 관세 전쟁으로 인한 국제 사회의 긴장감도 증가하고 있습니다."
MBN,국제,"트럼프 대통령이 한국에 26%의 관세를 부과하며 글로벌 경기침체 우려가 제기되고 있습니다. 중국은 미국의 관세 부과에 대응하여 브릭스 회원국을 늘리는 등 국제적 우군 확보에 주력하고 있으며, 미국과의 전면전 양상으로 상황이 전개될 것으로 보입니다."
MBN,경제,"트럼프 대통령의 관세 발표로 한국 제품의 경쟁력이 저하될 것으로 보이며, 코스피 지수는 하락했습니다. 정부는 경제적 충격을 완화하기 위해 고위급 박미를 추진할 계획입니다. 또한, 중국산 수입품에 대한 관세가 54%까지 증가했으며, 중국은 보복 조치를 준비하고 있습니다."
MBN,기타,"윤 대통령 선고 방청 신청 경쟁률이 높았으며, 이는 역사적인 선고에 대한 관심과 양진영의 경쟁 때문으로 보입니다. 기타로 분류할 만한 추가 내용은 없습니다."
채널A,정치,"헌법재판소의 윤석열 대통령 탄핵 선고를 앞두고 정치적 긴장이 고조되고 있으며, 이재명 더불어민주당 대표는 대통령 파면을 촉구하고 있습니다. 트럼프 대통령의 관세 부과 방침이 한국과의 무역 협정에 영향을 미치고 있습니다. 한덕수 대통령 권한대행은 대미 협상을 지시했습니다."
채널A,사회,"헌법재판소의 결정에 대한 승복 요구가 나오고 있으며, 헌재 앞 시위로 사회적 불안이 커지고 있습니다. 대구의 대학병원에서 간호사가 신생아 사진을 SNS에 올려 학대 논란이 발생했으며, 영남 지역에서 대형 산불로 피해가 발생했습니다."
채널A,국제,"트럼프 대통령의 관세 부과 방침이 국제 무역 질서에 큰 파장을 미치고 있으며, 한국 기업들이 어려움을 겪고 있습니다. 일본 애니메이션 제작사들이 생성형 AI의 저작권 문제에 긍정적인 반응을 보이고 있습니다."
채널A,경제,"트럼프 행정부의 관세 부과가 한국 경제에 큰 영향을 미치고 있으며, 한국은 관세율을 낮추기 위한 협상을 진행 중입니다. 농심은 미국 현지 생산으로 관세가 없지만, 삼양식품은 26%의 관세를 맞고 있습니다. 현대차그룹은 5분 충전으로 700km 주행이 가능한 수소 전기차를 공개했습니다."
채널A,기타,"트럼프 대통령의 관세 부과 발표는 정치적 메시지를 강조하기 위한 퍼포먼스로 해석됩니다. 생성형 AI가 일본 애니메이션 스타일로 사진을 변환하는 서비스가 인기를 끌고 있으며, 내일은 청명으로 맑고 따뜻한 봄 날씨가 예상됩니다. 경북 지역은 건조특보가 발효 중입니다."
